country,sector,buyer_signal,query,search_query,review_goal,seed_csv_instruction,notes
Germany,Travel and direct booking,Booking or timetable flow is website-led,regional ferry booking company,regional ferry booking company Germany -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Germany where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""regional ferry booking company"".",Transport booking sites are good AgentReady prospects
Germany,Travel and direct booking,Booking or timetable flow is website-led,bus tour operator online booking,bus tour operator online booking Germany -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Germany where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""bus tour operator online booking"".",Transport booking sites are good AgentReady prospects
Germany,Hospitality and direct booking,Rooms and offers are sold through the website,independent hotel group direct booking,independent hotel group direct booking Germany -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Germany where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""independent hotel group direct booking"".",Hotel chains often need machine-readable booking and location pages
Germany,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies online shop,industrial supplies online shop Germany -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Germany where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies online shop"".",B2B catalogs need structured product and quote pages
Germany,Manufacturer catalog,Technical product data and dealer routing live online,heating manufacturer installer finder,heating manufacturer installer finder Germany -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Germany where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""heating manufacturer installer finder"".",Manufacturers need agent-readable specs and partner routing
Germany,Attractions and ticketing,Ticket purchase or availability is website-led,museum tickets online booking,museum tickets online booking Germany -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Germany where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""museum tickets online booking"".",Ticketed venues need accessible schedules and booking context
France,Travel and direct booking,Booking or timetable flow is website-led,ferry tickets official website,ferry tickets official website France -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in France where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry tickets official website"".",Transport booking sites are good AgentReady prospects
France,Travel and direct booking,Booking or timetable flow is website-led,coach tours online booking,coach tours online booking France -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in France where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""coach tours online booking"".",Transport booking sites are good AgentReady prospects
France,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group official booking,hotel group official booking France -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in France where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group official booking"".",Hotel chains often need machine-readable booking and location pages
France,B2B ecommerce,Product catalog is the primary sales interface,packaging supplies online shop,packaging supplies online shop France -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in France where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""packaging supplies online shop"".",B2B catalogs need structured product and quote pages
